Time (ms),Recording (a.u.)
2.458426456,-0.000584873
2.479260578,-0.000503311
2.500094701,-0.000386882
2.520928823,-0.000309195
2.541762946,-0.000210196
2.562597068,-0.000133098
2.583431191,-0.000108874
2.604265313,3.19664E-05
2.625099436,6.88202E-05
2.645933558,-8.27279E-06
2.666767681,-3.50003E-05
2.687601803,-0.00014224
2.708435926,-7.20798E-05
2.729270048,-8.71225E-06
2.750104171,-0.000103525
2.770938293,-8.09029E-05
2.791772416,-0.000221776
2.812606538,-0.000358447
2.833440661,-0.000373916
2.854274783,-0.00047661
2.875108906,-0.00044187
2.895943028,-0.000376298
2.916777151,-0.000293396
2.937611273,-0.00016102
2.958445396,-8.12568E-05
2.979279518,-3.52077E-05
3.000113641,-0.000148056
3.020947763,-0.000229565
3.041781886,-0.000262102
3.062616008,-0.000336289
3.083450131,-0.000388017
3.104284253,-0.000419072
3.125118376,-0.000431053
3.145952498,-0.000585405
3.166786621,-0.000602641
3.187620743,-0.000419765
3.208454866,-0.00030533
3.229288988,-0.000149204
3.250123111,-2.1939E-06
3.270957233,-2.24073E-05
3.291791356,-0.000198499
3.312625478,-0.000344327
3.333459601,-0.000419295
3.354293723,-0.000559147
3.375127846,-0.000718202
3.395961968,-0.000769054
3.416796091,-0.00081058
3.437630213,-0.000923704
3.458464336,-0.001004666
3.479298458,-0.000944677
3.500132581,-0.000764213
3.520966703,-0.000678976
3.541800826,-0.00043776
3.562634948,-0.000163379
3.583469071,-0.000277478
3.604303193,-0.000332639
3.625137316,-0.000337146
3.645971438,-0.000427527
3.666805561,-0.000382298
3.687639683,-0.00038346
3.708473806,-0.000484932
3.729307928,-0.000624032
3.750142051,-0.000698256
3.770976173,-0.000589838
3.791810296,-0.000453161
3.812644418,-0.000396923
3.833478541,-0.000346622
3.854312663,-0.000300629
3.875146786,-0.000358711
3.895980908,-0.00053181
3.916815031,-0.000722166
3.937649153,-0.000817117
3.958483276,-0.000842303
3.979317398,-0.000762063
4.000151521,-0.000553414
4.020985643,-0.000464845
4.041819766,-0.000554464
4.062653888,-0.000572511
4.083488011,-0.000472802
4.104322133,-0.000488107
4.125156256,-0.00042097
4.145990378,-0.0002279
4.166824501,-0.000276106
4.187658623,-0.000295928
4.208492746,-0.00022948
4.229326868,-0.000279605
4.250160991,-0.000556531
4.270995113,-0.000826904
4.291829236,-0.000646471
4.312663358,-0.000606438
4.333497481,-0.000521321
4.354331603,-9.14883E-05
4.375165726,1.44413E-05
4.395999848,-2.80393E-05
4.416833971,-8.26427E-05
4.437668093,-0.000240015
4.458502216,-0.000517365
4.479336338,-0.000827255
4.500170461,-0.001024004
4.521004584,-0.001136665
4.541838706,-0.00111456
4.562672829,-0.000947689
4.583506951,-0.000675755
4.604341074,-0.00054034
4.625175196,-0.000432758
4.646009319,-0.000340366
4.666843441,-0.00045145
4.687677564,-0.000526422
4.708511686,-0.000584261
4.729345809,-0.000536385
4.750179931,-0.000341791
4.771014054,-0.00014163
4.791848176,0.000125255
4.812682299,0.000143824
4.833516421,-1.4792E-05
4.854350544,-5.10936E-05
4.875184666,-0.000176046
4.896018789,-0.000234875
4.916852911,-0.000113396
4.937687034,-2.7249E-05
4.958521156,-3.08854E-05
4.979355279,4.75428E-05
5.000189401,0.000188375
5.021023524,0.000198932
5.041857646,0.000247329
5.062691769,0.000236462
5.083525891,7.19217E-05
5.104360014,-6.11553E-05
5.125194136,-0.000210959
5.146028259,-0.000314978
5.166862381,-0.000274777
5.187696504,-0.00019298
5.208530626,-0.000174355
5.229364749,-0.000227585
5.250198871,-0.000353799
5.271032994,-0.000386539
5.291867116,-0.000414406
5.312701239,-0.000632089
5.333535361,-0.000699483
5.354369484,-0.000634296
5.375203606,-0.000669639
5.396037729,-0.00070636
5.416871851,-0.000700308
5.437705974,-0.000741396
5.458540096,-0.000874286
5.479374219,-0.000984597
5.500208341,-0.001036673
5.521042464,-0.001010053
5.541876586,-0.000942194
5.562710709,-0.000810396
5.583544831,-0.000622253
5.604378954,-0.000632681
5.625213076,-0.000681876
5.646047199,-0.000686716
5.666881321,-0.000767587
5.687715444,-0.00080985
5.708549566,-0.000885456
5.729383689,-0.000917133
5.750217811,-0.000806693
5.771051934,-0.000688734
5.791886056,-0.000672086
5.812720179,-0.000720203
5.833554301,-0.000661921
5.854388424,-0.000636593
5.875222546,-0.000674124
5.896056669,-0.000667191
5.916890791,-0.000568473
5.937724914,-0.000338407
5.958559036,-0.000283622
5.979393159,-0.00026678
6.000227281,-0.000218588
6.021061404,-0.000383152
6.041895526,-0.000525752
6.062729649,-0.000614888
6.083563771,-0.000625182
6.104397894,-0.000481664
6.125232016,-0.000384513
6.146066139,-0.000387017
6.166900261,-0.000452993
6.187734384,-0.000564112
6.208568506,-0.000671319
6.229402629,-0.000685308
6.250236751,-0.000673435
6.271070874,-0.000699318
6.291904996,-0.00066636
6.312739119,-0.000605246
6.333573241,-0.00057084
6.354407364,-0.000629088
6.375241486,-0.00065743
6.396075609,-0.000708813
6.416909731,-0.000849039
6.437743854,-0.000818655
6.458577976,-0.000802338
6.479412099,-0.000705927
6.500246221,-0.000506354
6.521080344,-0.000547728
6.541914466,-0.000571899
6.562748589,-0.000516173
6.583582711,-0.000330823
6.604416834,-5.66014E-05
6.625250956,-1.85572E-05
6.646085079,-2.85208E-05
6.666919201,-6.06784E-05
6.687753324,-0.000130613
6.708587446,-8.78811E-05
6.729421569,-4.60525E-05
6.750255692,-0.000118383
6.771089814,-0.000261996
6.791923937,-0.000357231
6.812758059,-0.000437817
6.833592182,-0.00047786
6.854426304,-0.000502522
6.875260427,-0.000556096
6.896094549,-0.00046358
6.916928672,-0.000383793
6.937762794,-0.000349822
6.958596917,-0.000207202
6.979431039,-0.000271256
7.000265162,-0.000485832
7.021099284,-0.00057392
7.041933407,-0.000642507
7.062767529,-0.000598153
7.083601652,-0.000397478
7.104435774,-0.000263693
7.125269897,-0.000217853
7.146104019,-0.000202674
7.166938142,-0.000140444
7.187772264,5.29446E-05
7.208606387,0.000127496
7.229440509,6.31614E-05
7.250274632,9.78814E-05
7.271108754,0.000104252
7.291942877,0.000103028
7.312776999,7.32649E-05
7.333611122,8.39285E-05
7.354445244,0.000283858
7.375279367,0.000259587
7.396113489,5.59976E-05
7.416947612,3.58169E-05
7.437781734,-4.74948E-05
7.458615857,-0.000328509
7.479449979,-0.000433716
7.500284102,-0.000339151
7.521118224,-0.000358961
7.541952347,-0.000279313
7.562786469,-6.37897E-05
7.583620592,8.37433E-05
7.604454714,0.000215016
7.625288837,0.000246941
7.646122959,0.000253296
7.666957082,0.000187262
7.687791204,4.9825E-05
7.708625327,-1.40953E-05
7.729459449,-0.000160108
7.750293572,-0.000275479
7.771127694,-0.000253514
7.791961817,-0.000287172
7.812795939,-0.000506621
7.833630062,-0.000691127
7.854464184,-0.000830365
7.875298307,-0.001014707
7.896132429,-0.001049435
7.916966552,-0.000995637
7.937800674,-0.000824475
7.958634797,-0.000747534
7.979468919,-0.000764932
8.000303042,-0.000636734
8.021137164,-0.000562055
8.041971287,-0.000449546
8.062805409,-0.000319954
8.083639532,-0.000228448
8.104473654,-0.000242625
8.125307777,-0.000434257
8.146141899,-0.000448681
8.166976022,-0.000502828
8.187810144,-0.000705446
8.208644267,-0.000623941
8.229478389,-0.000616727
8.250312512,-0.00073627
8.271146634,-0.000606125
8.291980757,-0.000597711
8.312814879,-0.00061499
8.333649002,-0.000432264
8.354483124,-0.000221886
8.375317247,-0.000129626
8.396151369,-0.000297079
8.416985492,-0.000385217
8.437819614,-0.000491307
8.458653737,-0.000735165
8.479487859,-0.000864539
8.500321982,-0.000954539
8.521156104,-0.000995229
8.541990227,-0.00107024
8.562824349,-0.001081294
8.583658472,-0.000996763
8.604492594,-0.001060587
8.625326717,-0.001295969
8.646160839,-0.001536262
8.666994962,-0.001653517
8.687829084,-0.001731548
8.708663207,-0.001609456
8.729497329,-0.00134963
8.750331452,-0.001265963
8.771165574,-0.00124436
8.791999697,-0.001203972
8.812833819,-0.00117453
8.833667942,-0.001163462
8.854502064,-0.00120017
8.875336187,-0.001317294
8.896170309,-0.001421114
8.917004432,-0.001417111
8.937838554,-0.001311703
8.958672677,-0.001043949
8.979506799,-0.000892095
9.000340922,-0.00090341
9.021175045,-0.000779842
9.042009167,-0.000724655
9.06284329,-0.000727
9.083677412,-0.000760074
9.104511535,-0.000803481
9.125345657,-0.000667031
9.14617978,-0.000698879
9.167013902,-0.000761998
9.187848025,-0.000730316
9.208682147,-0.000936233
9.22951627,-0.001121777
9.250350392,-0.00121983
9.271184515,-0.001255424
9.292018637,-0.001132497
9.31285276,-0.001090585
9.333686882,-0.001188376
9.354521005,-0.001265715
9.375355127,-0.001281327
9.39618925,-0.001272045
9.417023372,-0.001238412
9.437857495,-0.00122564
9.458691617,-0.001315503
9.47952574,-0.001272903
9.500359862,-0.001181077
9.521193985,-0.001382013
9.542028107,-0.001509495
9.56286223,-0.001391509
9.583696352,-0.001307872
9.604530475,-0.001291221
9.625364597,-0.001183806
9.64619872,-0.000923293
9.667032842,-0.000881233
9.687866965,-0.001014098
9.708701087,-0.000981464
9.72953521,-0.001023039
9.750369332,-0.001042469
9.771203455,-0.000986647
9.792037577,-0.000994811
9.8128717,-0.000982716
9.833705822,-0.001052168
9.854539945,-0.00104584
9.875374067,-0.000958011
9.89620819,-0.00095113
9.917042312,-0.00097118
9.937876435,-0.000967554
9.958710557,-0.000889428
9.97954468,-0.000878949
